user_id,num_levels_completed,unique_levels_completed,returns,total_time_played,active_time,abtest_value
guchEqxupAyeFHPu0hXv83RjzygiK1D1vQj9hRDH,5,5,0,150,150,1
gYhPb9J1Cjn2qwaSjUpYcW7cZKcfsKDJJUyU3hWG,10,10,0,480,480,1
h5aBECCPoBZYNUXPXRdQm6lCwnplNDL5JVGnyjdX,5,5,0,60,60,2
h7RjGpzwOrQ7G0M2obtN99RUa3gXOrQ6yIqf70MW,7,7,0,210,210,1
h99BULN04MoPL5Z8dv6jxplEFB1bfA3xKd8EYVF3,4,4,0,90,90,2
HbFpPrxe2ZWC9u7rTIgv7W2A2HKWFafnlVMamkpo,9,9,0,210,210,1
HbfZG0Dc3EhG1fISeag5YdQhSUXT5KDNVTNCTqPX,1,1,0,30,30,2
HbkyOXUboaSmYRTK4WOux1W5MxLEC8EkjYS8VNkk,0,0,0,30,30,1
HBNpd5uK7nMYmnBoS5BiGXAr12kGjBA1dnrrtVbA,10,10,1,330,330,1
hCLzHLDEjCZAYxWD2ozqLHmb7yynWjNdVzNDlrhE,12,12,1,6870,780,1
HEgvKygOREhbDFdZvY2aFAheKSSfHQ9pvqUgZb4R,2,1,2,180,90,2
henlGiFPMSNNTqVj9s6QAzo6BSzOmm1EBoZhHF7u,6,6,0,583020,630,2
Hh9uZhyAh7ovz7RZevQJXUD0T9ywNdeuuoZtGx4X,0,0,0,30,30,2
Hi4HaS9Rjq9Xyey3bahoQ7UNSGpV9UqRcvynoHfH,7,7,0,150,150,1
hiYMArCWlU5TMjA4lvQdKR32u3b4RrQ9KOVkgxhC,12,12,0,1380,660,1
HJ4bKIqIcHMxU5hv6E4zXGPpTsKfBrhjalvV3VDf,8,8,0,2280,630,2
hnkaZQY1cmsp2Z3ktt61MUh8pXIVdnovKJFKzDLL,3,3,0,90,90,2
hnnJ9LEaDXqeowHpvKpeUqzLWckupZfGmCqwn4H1,0,0,0,30,30,1
hoej0wQCpVHZcTxBiWZYdrYF3Fzvs4SJs73sDT43,7,7,0,210,210,2
hQ8fz3iYYoPoo6OKCjyumNnSJkxNMaw40FjAICyH,0,0,0,0,0,2
Hqh49SrGx4ByGVsuiz5MQfQ5gLgr47QLy7PI0hpx,7,7,1,480,480,1
HQKVUNKzDVzxc0yEfa8nNYZpn1ImS71zXLvSyfsc,12,12,0,480,480,1
HU6GfBVcFVACkU23qxkTi2170l2zSfxz9DfofbAV,2,2,0,90,90,1
hwNlSMqHOpyP14GkrDuqifnWZRV9EHOWdCi5oINd,6,6,0,240,240,1
hXu4tvf9EEy8A3lop472CoYrUr7gQth8rLcUgs4V,6,6,0,390,360,2
i4scIvPVcwI7GlOCjTvaQHKRjXji0klipOv7jk3w,9,9,0,390,390,2
i8YuGs3slnNqDTtiEicRGHweVHj8sGdLPbfwEjZ0,5,5,0,90,90,1
IbfT25GKE2wA3an4EWOioj7pMwRYA54jgjcjoS33,2,2,0,90,90,2
ICKyWdmMPDI9YCD60UvTBbJgj8gKKi8tUS1Q6oDW,12,12,0,1020,810,2
IEs1QpYOcEMih7cU1rV3kztr07PknNg6sJ7j967l,12,12,0,4980,660,1
igmCpIfOJue7qvHJhozjhXiVf83fDFrWVNzlwO9f,0,0,0,0,0,2
IH3fpvlFwMhDG2JRJ6upDhn5wHoW67YOO14ewpT3,8,8,0,510,450,2
iHisspS9SyE4mo3RB5XvOdN6bOxd4DBnlTQNiIWa,2,2,1,30,30,2
IhLgdVHq9VB8OBTgzGrAZ28icIsotKtc2fsfbaFk,0,0,0,0,0,2
IK9asDGVbcN46ijkSBeVGhzzaJ4GylAg5Jryn8ty,12,12,1,540,510,2
irJAwU01qUSak9zi9nPudr8cT6xmutMNUwoqqorR,7,7,0,3720,1350,2
iRmbq7vaLompIQ7EMnlJw6J5YFLyza6R1s2sAyDl,13,13,1,930,930,2
ISoYwlev3eZdglMfI2WMsgK7BAA7ZScHLAGiWUNZ,10,10,0,510,510,1
ivYKs8yWWf6fpZSoMVEYHy02BXWsupyNUxymF6iC,6,6,0,240,240,1
iYU6Wr5rrRWW8FReuN83e7cNvjOa7wnpvhvrIBSa,0,0,0,0,0,2
Iyx3Kd3KJku3rPFzPvpQmUyccxoxH1dpAKtkXw4G,0,0,0,30,30,1
IZuSHy7DJL6o7bJFUqZa6j9eEI5CfhzXg3QXBXBl,5,5,0,60,60,2
J17qitJMbdqipKJXvVQ2RsNjyfHGTTJCUQ3ckNYv,1,1,0,300,120,2
j31wOWsIaU2OrD8M5QYADI04LJPWJXj30lAOh3ws,1,1,0,30,30,2
j4UqXgTAORNR7kkYiqcHEfwdhXIlfBCyGwYDNReB,0,0,0,0,0,2
j5KhnNai0FYyQZv8hkBfpVrSBjiZ4yZoDJF1xPkx,7,7,1,240,240,1
j7fNCUW2suWA1jOTSZH5oBrFdV4gtcxMkNzXHw09,3,3,0,90,90,2
JAeHP4IMlutS7nomX5VFkgA0k9hgUM4Enilcn4ZI,7,7,0,240,240,2
JCHDYPT6XssJ9KjsVWBSmff6OgmZfxsYa9C8ZweX,7,7,0,540,540,1
Jd17DaVHakdvAwkBRgRLl1oYZ7KdfQTZ4U6H52pf,6,6,0,360,360,1
jDRPFUlG8oNvEmJ98ZjzDV5DGdvccrJw4BmKvIqE,1,1,0,210,210,2
JDypaHWYrS8PtC8UbUkspmnMFJixvLEfpdFzUCym,13,12,2,570,570,2
Jf4q96AOOraMmez6NR4iesSn59PPT0PCgT3p0DeO,2,2,0,210,210,-1
